Month,Agency,Ridership
06/01/2020,B&T,20001850
07/01/2020,LIRR,1621374
07/01/2020,MNR,1315415
07/01/2020,Subway,32482176
07/01/2020,Bus,558480
07/01/2020,AAR,498287
07/01/2020,SIR,62304
07/01/2020,B&T,23322086
08/01/2020,B&T,24423978
08/01/2020,LIRR,1747283
08/01/2020,MNR,1383704
08/01/2020,Subway,35153119
08/01/2020,Bus,1175266
08/01/2020,AAR,560794
08/01/2020,SIR,64780
09/01/2020,LIRR,2041823
09/01/2020,MNR,1699992
09/01/2020,Subway,42660693
09/01/2020,Bus,23046563
09/01/2020,AAR,593471
09/01/2020,SIR,77710
09/01/2020,B&T,24002326
10/01/2020,Bus,24717226
10/01/2020,AAR,708229
10/01/2020,SIR,97118
10/01/2020,B&T,24436257
10/01/2020,LIRR,2174852
10/01/2020,MNR,1866938
10/01/2020,Subway,47957127
11/01/2020,LIRR,1896355
11/01/2020,MNR,1569464
11/01/2020,Subway,43618698
11/01/2020,Bus,22223328
11/01/2020,AAR,649352
11/01/2020,SIR,77847
11/01/2020,B&T,21889990
12/01/2020,LIRR,1860130
12/01/2020,MNR,1468620
12/01/2020,Subway,43658492
12/01/2020,Bus,21589388
12/01/2020,AAR,643662
12/01/2020,SIR,78744
12/01/2020,B&T,21579179
01/01/2021,LIRR,1730014
01/01/2021,MNR,1386554
01/01/2021,Subway,41123531
01/01/2021,Bus,20769132
01/01/2021,AAR,614035
01/01/2021,SIR,81492
01/01/2021,B&T,21014716
02/01/2021,AAR,495819
02/01/2021,SIR,77293
02/01/2021,B&T,18255564
02/01/2021,LIRR,1586864
02/01/2021,MNR,1301931
02/01/2021,Subway,39170408
02/01/2021,Bus,18822957
03/01/2021,LIRR,2092132
03/01/2021,MNR,1738475
03/01/2021,Subway,51395341
03/01/2021,Bus,24533046
03/01/2021,AAR,669737
03/01/2021,SIR,91130
03/01/2021,B&T,24335629
04/01/2021,LIRR,2199647
04/01/2021,MNR,1887715
04/01/2021,Subway,53236649
04/01/2021,Bus,25009678
04/01/2021,AAR,664966
04/01/2021,SIR,108921
04/01/2021,B&T,24896449
05/01/2021,SIR,98984
05/01/2021,B&T,26848127
05/01/2021,LIRR,2511071
05/01/2021,MNR,2261760
05/01/2021,Subway,58397777
05/01/2021,Bus,25960719
05/01/2021,AAR,675114
06/01/2021,LIRR,3107639
06/01/2021,MNR,2752694
06/01/2021,Subway,65475928
06/01/2021,Bus,26925261
06/01/2021,AAR,699059
06/01/2021,SIR,112775
06/01/2021,B&T,27835062
07/01/2021,LIRR,3309454
07/01/2021,MNR,2938881
07/01/2021,Subway,66973313
07/01/2021,Bus,26905110
07/01/2021,AAR,677175
07/01/2021,SIR,115520
07/01/2021,B&T,28032603
08/01/2021,LIRR,3294846
08/01/2021,MNR,2846849
08/01/2021,Subway,66418585
08/01/2021,Bus,26682112
08/01/2021,AAR,680625
08/01/2021,SIR,117585
08/01/2021,B&T,28090238
09/01/2021,LIRR,3630469
09/01/2021,MNR,3113806
09/01/2021,Subway,73405353
09/01/2021,Bus,28986728
09/01/2021,AAR,668513
09/01/2021,SIR,148918
09/01/2021,B&T,27057244
10/01/2021,LIRR,3940612
10/01/2021,MNR,3630216
10/01/2021,Subway,83415225
10/01/2021,Bus,30875205
10/01/2021,AAR,687217
10/01/2021,SIR,167411
